ID,AGG_INCOME
01001,357487212
01003,1539896185
01005,116455613
01007,160000398
01009,305740775
01011,72636399
01013,100462585
01015,796732762
01017,268099421
01019,178222406
01021,343858294
01023,83851815
01025,185068279
01027,92699853
01029,72824134
01031,273335781
01033,348656519
01035,62111748
01037,70990504
01039,213066279
01041,59239112
01043,523879014
01045,325268253
01047,237338921
01049,408569106
01051,527531920
01053,200901043
01055,610613522
01057,97509347
01059,182340860
01061,163501203
01063,48674324
01065,88043883
01067,116682848
01069,372912185
01071,353742473
01073,5213386006
01075,115376631
01077,644928236
01079,237732473
01081,1089645501
01083,594701854
01085,71128350
01087,92717851
01089,2559404978
01091,145823625
01093,209321384
01095,565896288
01097,2550327664
01099,118282053
01101,1756575363
01103,777354438
01105,64602910
01107,117021055
01109,219819611
01111,133945577
01113,351941175
01115,543747921
01117,1584795141
01119,72210759
01121,486578814
01123,273466465
01125,1228025910
01127,406925510
01129,109019183
01131,51262163
01133,151250542
02013,17300169
02016,31250457
02020,3252861721
02050,62592601
02060,4933794
02068,11001092
02070,31943243
02090,1024313881
02100,24787517
02105,17361087
02110,328699758
02122,460433836
02130,77060477
02150,113445992
02158,16923706
02164,6979847
02170,449823220
02180,36901196
02185,92598719
02188,32232062
02195,18785025
02198,31420626
02220,82422462
02230,4449528
02240,43797829
02261,110375623
02275,14722550
02282,3681517
02290,16549495
04001,265599128
04003,874565142
04005,1065001672
04007,350968671
04009,205020368
04011,57880383
04012,152893967
04013,31003277657
04015,1309633162
04017,493824959
04019,6191170475
04021,2366390901
04023,320363250
04025,1544061282
04027,1098663298
05001,126997961
05003,133772995
05005,292300138
05007,1708623157
05009,212402487
05011,70410130
05013,30495702
05015,177058022
05017,89669103
05019,122979467
05021,84995269
05023,209070807
05025,45204635
05027,106666210
05029,105362324
05031,703842328
05033,344404941
05035,252004938
05037,101351823
05039,37428342
05041,66672612
05043,125381879
05045,738188165
05047,102977639
05049,80391343
05051,796884687
05053,138039160
05055,242969893
05057,133025906
05059,232338913
05061,110715225
05063,246369474
05065,67900597
05067,116959594
05069,431965241
05071,149862251
05073,68987700
05075,82199937
05077,45311409
05079,50561047
05081,79271353
05083,126110078
05085,371528649
05087,121064952
05089,87246768
05091,264537011
05093,267494507
05095,40610209
05097,50086302
05099,44851038
05101,36761216
05103,180997500
05105,76052457
05107,124522920
05109,53753677
05111,111593221
05113,100237474
05115,311909548
05117,45840517
05119,3103778305
05121,113051094
05123,170563024
05125,729764928
05127,52152198
05129,62366804
05131,933843239
05133,72976867
05135,142829653
05137,84609122
05139,288294026
05141,85394676
05143,1470285508
05145,545172610
05147,35373927
05149,121125491
06001,15301373724
06003,10116943
06005,316242704
06007,1842475296
06009,404003195
06011,207477575
06013,10969796328
06015,176551819
06017,1807147618
06019,5410291231
06021,192427512
06023,982283088
06025,865019417
06027,112635819
06029,4951113431
06031,813795274
06033,438873902
06035,171156165
06037,80973664611
06039,867028367
06041,4860244837
06043,157144212
06045,821822331
06047,1446103690
06049,70514893
06051,201402359
06053,2963520376
06055,1441933918
06057,1056527095
06059,30190062562
06061,3229275762
06063,229099550
06065,13102350756
06067,10765593040
06069,413459055
06071,12366384686
06073,26505180063
06075,13762367010
06077,4197858427
06079,2454589695
06081,9601860209
06083,4116027751
06085,20857812099
06087,2866272383
06089,1179814942
06091,38616640
06093,237965135
06095,3341112597
06097,5298596539
06099,3290941106
06101,625787363
06103,402324945
06105,91796497
06107,2539609569
06109,621811843
06111,6685643899
06113,1530893386
06115,459537859
08001,2792469336
08003,108386484
08005,5056928928
08007,101877530
08009,13541001
08011,25944406
08013,3074815539
08014,571495488
08015,158062589
08017,10973042
08019,104932133
08021,31836324
08023,20376857
08025,21184511
08027,27987840
08029,251494755
08031,6734453910
08033,8455128
08035,3032635790
08037,682374480
08039,222625806
08041,4471307056
08043,246006203
08045,459648694
08047,67358680
08049,148831865
08051,138183487
08053,4177271
08055,48176755
08057,8003892
08059,4962305868
08061,5787308
08063,71119921
08065,75615215
08067,422437489
08069,2481238757
08071,93041539
08073,47466593
08075,142431333
08077,1065404542
08079,4718337
08081,105166263
08083,164651354
08085,254105919
08087,173425143
08089,116548305
08091,30710765
08093,162626514
08095,34846838
08097,503688169
08099,71701820
08101,888593931
08103,44970853
08105,82326193
08107,272873259
08109,40721130
08111,3379449
08113,63147335
08115,11333684
08117,436993793
08119,200118162
08121,20240999
08123,1719203317
08125,77608569
09001,13544954586
09003,8266665486
09005,1897930651
09007,1911891172
09009,8017532555
09011,2377402088
09013,1413983687
09015,889560455
10001,942596071
10003,4579746236
10005,1514798741
11001,8587572982
12001,1835434042
12003,167177007
12005,1209847775
12007,199724551
12009,4084616052
12011,14285316222
12013,72454817
12015,1373972335
12017,993302467
12019,1280993167
12021,4090394326
12023,460788650
12027,181612290
12029,119519411
12031,6429841492
12033,2044013935
12035,641850604
12037,77845746
12039,250810895
12041,127817138
12043,85670281
12045,107205020
12047,71185729
12049,215983367
12051,263413457
12053,996102470
12055,821083492
12057,10182638504
12059,100141820
12061,1445221961
12063,246498810
12065,81766939
12067,87390942
12069,1952185053
12071,5799541959
12073,1897823998
12075,281518669
12077,43045654
12079,100374400
12081,2590176385
12083,2113071457
12085,1492193679
12086,21309353286
12087,959115774
12089,681623341
12091,1410587721
12093,205861901
12095,6473684579
12097,1231895436
12099,13921364413
12101,3020840706
12103,8479617230
12105,3375350997
12107,486064443
12109,1800899709
12111,2126670153
12113,1203994717
12115,3947179007
12117,3503067656
12119,578151373
12121,283620365
12123,135750877
12125,52683245
12127,3494139560
12129,196271470
12131,635666023
12133,119418098
13001,113585835
13003,51608121
13005,57950819
13007,23822973
13009,295181300
13011,61439965
13013,349324348
13015,664307567
13017,84671475
13019,81422911
13021,1080011490
13023,91407395
13025,87633609
13027,95613515
13029,222351820
13031,400788567
13033,126093825
13035,131217691
13037,60143004
13039,274393988
13043,58310720
13045,745975858
13047,377034485
13049,68658972
13051,2095525282
13053,72748273
13055,140510308
13057,1878664619
13059,660102674
13061,10254999
13063,1346085004
13065,44739410
13067,6175329050
13069,262731443
13071,266741363
13073,1029227447
13075,89446451
13077,956390827
13079,80584606
13081,196485145
13083,78782977
13085,183903534
13087,173910798
13089,5722067918
13091,109489277
13093,70647753
13095,593370724
13097,848394819
13099,57798804
13101,19427483
13103,291437100
13105,159416597
13107,112690514
13109,69932998
13111,178701725
13113,925295520
13115,617050303
13117,1589154445
13119,125346266
13121,10377363945
13123,193993455
13125,10366535
13127,737128569
13129,325292564
13131,125648962
13133,150889966
13135,5321788351
13137,211682581
13139,1110111447
13141,47994034
13143,187029797
13145,290575981
13147,181748031
13149,52804078
13151,1219576830
13153,928750096
13155,65796560
13157,329805327
13159,62658914
13161,91359298
13163,102283229
13165,71993544
13167,44267802
13169,156434605
13171,101035826
13173,53775733
13175,290332114
13177,215136951
13179,287437616
13181,51463342
13183,92270218
13185,695305072
13187,208704189
13189,129260745
13191,122780934
13193,78008575
13195,166082441
13197,39414042
13199,164385111
13201,37116731
13205,114307800
13207,282779096
13209,41376838
13211,118128103
13213,198214113
13215,1243666600
13217,527060114
13219,252447082
13221,62803938
13223,935673867
13225,133537838
13227,261280535
13229,172942270
13231,99150448
13233,407186966
13235,70012671
13237,172642726
13239,9511451
13241,123163178
13243,130587599
13245,1328998124
13247,540108178
13249,22116212
13251,91030229
13253,86774655
13255,331341324
13257,187422302
13259,19495990
13261,194804592
13263,33532369
13265,7286348
