LONG_ID,ELDERLY,WORKING_AGE,YOUTH
06059 2000,280763,1718922,1062618
06061 2000,32560,144036,87727
06063 2000,3725,11917,6111
06065 2000,195964,834715,636337
06067 2000,135875,716463,460083
06069 2000,4315,30281,23343
06071 2000,146459,956707,749344
06073 2000,313750,1689045,1009659
06075 2000,106111,543278,158977
06077 2000,59799,310517,238242
06079 2000,35685,146659,76695
06081 2000,88085,441790,222660
06083 2000,50765,233075,141515
06085 2000,160527,1062446,579030
06087 2000,25487,159925,85734
06089 2000,24861,91009,57029
06091 2000,629,2027,1046
06093 2000,8040,24483,14038
06095 2000,37426,234453,151447
06097 2000,57977,275802,152432
06099 2000,46697,247201,188681
06101 2000,9755,44091,30812
06103 2000,8923,30211,20439
06105 2000,2241,7547,3786
06107 2000,35917,195158,169772
06109 2000,10067,31838,15062
06111 2000,76804,441009,291615
06113 2000,15782,100254,63588
06115 2000,6410,33228,25541
08001 2000,28382,221098,145026
08003 2000,1440,8594,5966
08005 2000,41929,303979,175779
08007 2000,1178,5993,3258
08009 2000,1014,2299,1471
08011 2000,954,3468,1931
08013 2000,22670,190420,95745
08015 2000,2762,9937,4265
08017 2000,370,1157,846
08019 2000,658,6394,2804
08021 2000,1258,4187,3615
08023 2000,616,2038,1216
08025 2000,597,3758,1406
08027 2000,517,2144,1036
08029 2000,5473,15070,8897
08031 2000,62426,356394,173585
08033 2000,316,1080,540
08035 2000,7322,110044,75350
08037 2000,1249,29710,13660
08039 2000,1192,12219,7766
08041 2000,44787,313994,197186
08043 2000,6729,28993,12659
08045 2000,3840,26953,16262
08047 2000,270,3410,1346
08049 2000,968,8486,3705
08051 2000,965,9683,3950
08053 2000,92,536,210
08055 2000,1338,4735,2133
08057 2000,206,935,525
08059 2000,50826,329675,179835
08061 2000,285,878,556
08063 2000,1171,4509,2822
08065 2000,513,4941,2971
08067 2000,4128,27988,14061
08069 2000,24037,157446,85272
08071 2000,2732,8342,4982
08073 2000,868,3626,1899
08075 2000,2965,11633,7197
08077 2000,17642,65874,40008
08079 2000,144,504,220
08081 2000,1233,7838,5010
08083 2000,3299,13418,8758
08085 2000,5098,18535,12067
08087 2000,3541,14626,11307
08089 2000,3342,10863,7422
08091 2000,457,2372,1093
08093 2000,1059,9774,4524
08095 2000,867,2316,1604
08097 2000,1013,11166,3308
08099 2000,1832,7817,5971
08101 2000,21456,79260,50293
08103 2000,669,3469,2188
08105 2000,1822,6756,4703
08107 2000,992,13739,6034
08109 2000,641,3407,2271
08111 2000,39,397,148
08113 2000,222,5090,1581
08115 2000,607,1456,839
08117 2000,770,18090,5941
08119 2000,1540,13210,6984
08121 2000,898,2612,1721
08123 2000,16240,105987,72756
08125 2000,1607,5198,3689
09001 2000,117163,520831,308578
09003 2000,125628,500190,286148
09005 2000,25941,108021,58915
09007 2000,21085,94500,49118
09009 2000,119292,481115,276695
09011 2000,33765,155496,86206
09013 2000,13869,84756,45842
09015 2000,13440,64771,37544
10001 2000,14801,73149,47885
10003 2000,57903,301558,174188
10005 2000,29022,88917,47708
11001 2000,69898,366355,168342
12001 2000,20918,138496,69702
12003 2000,2050,13375,8395
12005 2000,19817,88870,48509
12007 2000,3376,16297,7859
12009 2000,94681,266125,140131
12011 2000,261109,944433,520517
12013 2000,1816,7869,4099
12015 2000,49167,68142,29572
12017 2000,38010,57899,26645
12019 2000,13772,83864,52407
12021 2000,61513,134920,68385
12023 2000,7909,32667,19565
12027 2000,6113,17733,10236
12029 2000,2369,8082,4146
12031 2000,81753,470713,282660
12033 2000,39169,173598,99556
12035 2000,14269,25800,11821
12037 2000,1741,7098,2727
12039 2000,5487,26262,16356
12041 2000,1968,8436,4860
12043 2000,1990,6019,3185
12045 2000,2158,8005,3843
12047 2000,1490,8368,4309
12049 2000,3750,14842,10411
12051 2000,3641,20256,15139
12053 2000,40353,63399,32955
12055 2000,28833,39988,22755
12057 2000,119673,599199,348520
12059 2000,2749,11044,5799
12061 2000,32972,55944,29290
12063 2000,6804,28099,14410
12065 2000,1865,7784,3935
12067 2000,869,4427,2115
12069 2000,55603,108322,57596
12071 2000,112111,234048,117699
12073 2000,19891,152728,80560
12075 2000,6172,19337,10916
12077 2000,716,4609,2080
12079 2000,2726,10754,6327
12081 2000,65647,138401,74856
12083 2000,63488,134452,74464
12085 2000,35786,65224,31320
12086 2000,300552,1333444,765118
12087 2000,11648,52976,18427
12089 2000,7267,34671,19290
12091 2000,20656,103111,57574
12093 2000,5864,19925,12376
12095 2000,89959,552755,315005
12097 2000,19709,101917,62587
12099 2000,262076,605655,326366
12101 2000,92403,176204,94292
12103 2000,207563,518721,240552
12105 2000,88738,264359,162013
12107 2000,13009,38270,23470
12109 2000,19579,72161,38001
12111 2000,43753,101143,58549
12113 2000,12972,70660,41811
12115 2000,102583,165346,70825
12117 2000,38853,224700,124705
12119 2000,14618,29266,11569
12121 2000,5905,19545,11493
12123 2000,2708,11305,6382
12125 2000,1003,9156,4020
12127 2000,97811,244129,123060
12129 2000,2350,14041,7824
12131 2000,6431,24468,11860
12133 2000,3293,12293,6654
13001 2000,2062,10128,6502
13003 2000,705,4329,3295
13005 2000,1293,5873,3699
13007 2000,557,2281,1530
13009 2000,4716,28187,14085
13011 2000,1512,8746,5251
13013 2000,4181,27746,18029
13015 2000,7168,45785,29005
13017 2000,2328,9817,6621
13019 2000,2027,9368,5992
13021 2000,19620,88515,57186
13023 2000,1584,6422,4407
13025 2000,1478,8622,5605
13027 2000,2465,9076,5985
13029 2000,1703,13778,9736
13031 2000,5207,33112,20925
13033 2000,2416,12195,9413
13035 2000,1994,12273,6485
13037 2000,794,3952,1955
13039 2000,2277,26196,18995
13043 2000,1453,5277,3532
13045 2000,8711,52158,32555
13047 2000,6322,31930,18668
13049 2000,994,6127,3834
13051 2000,29770,137030,80911
13053 2000,268,9337,6522
13055 2000,3641,15284,8207
13057 2000,9353,89003,55217
13059 2000,8208,66822,31746
13061 2000,655,1731,1192
13063 2000,13923,145026,97294
13065 2000,814,3977,2590
13067 2000,42036,393089,216564
13069 2000,3691,21856,14798
13071 2000,5405,23761,16080
13073 2000,7130,53378,34978
13075 2000,2046,8874,6072
13077 2000,7571,53958,34974
13079 2000,1150,7582,4601
13081 2000,2853,12125,8735
13083 2000,1820,9071,5153
13085 2000,1491,10133,5501
13087 2000,3743,15633,11028
13089 2000,53224,429686,230312
13091 2000,2539,11118,6708
13093 2000,1362,6875,4070
13095 2000,11208,54530,37663
13097 2000,6958,57303,34648
13099 2000,1945,6546,4739
13101 2000,340,2177,1538
13103 2000,3016,22294,15082
13105 2000,3060,11634,7121
13107 2000,2909,12120,8284
13109 2000,1321,5980,3914
13111 2000,3766,11477,5620
13113 2000,8104,54409,34075
13115 2000,12615,52700,31220
13117 2000,6940,62158,38675
13119 2000,3108,11680,6781
13121 2000,68990,522784,281051
13123 2000,3082,14110,7943
13125 2000,466,1421,842
13127 2000,9761,38915,23290
13129 2000,4674,26750,15847
13131 2000,3128,13412,8782
13133 2000,2073,8304,4990
13135 2000,31599,376462,227462
13137 2000,4972,21226,11964
13139 2000,13067,84400,53227
13141 2000,1209,6169,3281
13143 2000,3347,14993,9105
13145 2000,2830,14244,8017
13147 2000,3797,13268,7370
13149 2000,1212,6360,4315
13151 2000,8824,72955,47250
13153 2000,10295,65883,42303
13155 2000,1396,5379,3830
13157 2000,4321,25092,15197
13159 2000,1353,6667,4201
13161 2000,1514,7347,4798
13163 2000,2357,9523,6625
13165 2000,1163,4698,3325
13167 2000,1337,4371,3438
13169 2000,2441,14092,8654
13171 2000,2000,9266,5622
13173 2000,771,4265,2727
13175 2000,5966,25585,16433
13177 2000,1570,14879,10115
13179 2000,2432,36947,28643
13181 2000,1218,4894,2684
13183 2000,594,5923,4920
13185 2000,8271,56100,34337
13187 2000,2040,12754,7565
13189 2000,2528,12192,8022
13191 2000,1280,6278,4004
13193 2000,1791,8000,5284
13195 2000,2827,15499,9167
13197 2000,752,4192,2663
13199 2000,3068,12787,8189
13201 2000,1092,3454,2219
13205 2000,2810,13856,8989
13207 2000,2251,13222,7663
13209 2000,877,4993,2963
13211 2000,1934,9037,5509
13213 2000,2922,22388,14152
13215 2000,21817,107620,70536
13217 2000,6129,36933,23855
13219 2000,2238,15410,10399
13221 2000,1566,7514,4425
13223 2000,4824,50001,34546
13225 2000,2331,14154,8714
13227 2000,3034,13970,7438
13229 2000,1903,9147,5633
13231 2000,1488,8070,5089
