LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2010	NA	25713	23431	2282	8.9
CN0100300000000	01	003	Baldwin County, AL	2010	NA	83459	75120	8339	10
CN0100500000000	01	005	Barbour County, AL	2010	NA	10221	8959	1262	12.3
CN0100700000000	01	007	Bibb County, AL	2010	NA	8934	7914	1020	11.4
CN0100900000000	01	009	Blount County, AL	2010	NA	24906	22460	2446	9.8
CN0101100000000	01	011	Bullock County, AL	2010	NA	4941	4356	585	11.8
CN0101300000000	01	013	Butler County, AL	2010	NA	9261	7998	1263	13.6
CN0101500000000	01	015	Calhoun County, AL	2010	NA	51559	45699	5860	11.4
CN0101700000000	01	017	Chambers County, AL	2010	NA	14754	12554	2200	14.9
CN0101900000000	01	019	Cherokee County, AL	2010	NA	11464	10245	1219	10.6
CN0102100000000	01	021	Chilton County, AL	2010	NA	19462	17464	1998	10.3
CN0102300000000	01	023	Choctaw County, AL	2010	NA	4860	4216	644	13.3
CN0102500000000	01	025	Clarke County, AL	2010	NA	9108	7300	1808	19.9
CN0102700000000	01	027	Clay County, AL	2010	NA	5851	5005	846	14.5
CN0102900000000	01	029	Cleburne County, AL	2010	NA	6033	5429	604	10
CN0103100000000	01	031	Coffee County, AL	2010	NA	21088	19271	1817	8.6
CN0103300000000	01	033	Colbert County, AL	2010	NA	24228	21453	2775	11.5
CN0103500000000	01	035	Conecuh County, AL	2010	NA	4991	4131	860	17.2
CN0103700000000	01	037	Coosa County, AL	2010	NA	4654	3937	717	15.4
CN0103900000000	01	039	Covington County, AL	2010	NA	16417	14721	1696	10.3
CN0104100000000	01	041	Crenshaw County, AL	2010	NA	6285	5646	639	10.2
CN0104300000000	01	043	Cullman County, AL	2010	NA	35959	32202	3757	10.4
CN0104500000000	01	045	Dale County, AL	2010	NA	22072	20124	1948	8.8
CN0104700000000	01	047	Dallas County, AL	2010	NA	17808	14806	3002	16.9
CN0104900000000	01	049	DeKalb County, AL	2010	NA	30942	27026	3916	12.7
CN0105100000000	01	051	Elmore County, AL	2010	NA	36683	33362	3321	9.1
CN0105300000000	01	053	Escambia County, AL	2010	NA	15007	13238	1769	11.8
CN0105500000000	01	055	Etowah County, AL	2010	NA	44000	39193	4807	10.9
CN0105700000000	01	057	Fayette County, AL	2010	NA	6831	5942	889	13
CN0105900000000	01	059	Franklin County, AL	2010	NA	14255	12724	1531	10.7
CN0106100000000	01	061	Geneva County, AL	2010	NA	11559	10362	1197	10.4
CN0106300000000	01	063	Greene County, AL	2010	NA	3306	2735	571	17.3
CN0106500000000	01	065	Hale County, AL	2010	NA	6445	5473	972	15.1
CN0106700000000	01	067	Henry County, AL	2010	NA	7259	6469	790	10.9
CN0106900000000	01	069	Houston County, AL	2010	NA	46414	42170	4244	9.1
CN0107100000000	01	071	Jackson County, AL	2010	NA	24348	21468	2880	11.8
CN0107300000000	01	073	Jefferson County, AL	2010	NA	318520	285627	32893	10.3
CN0107500000000	01	075	Lamar County, AL	2010	NA	5802	5035	767	13.2
CN0107700000000	01	077	Lauderdale County, AL	2010	NA	43596	39193	4403	10.1
CN0107900000000	01	079	Lawrence County, AL	2010	NA	14901	13024	1877	12.6
CN0108100000000	01	081	Lee County, AL	2010	NA	66764	60758	6006	9
CN0108300000000	01	083	Limestone County, AL	2010	NA	38321	34625	3696	9.6
CN0108500000000	01	085	Lowndes County, AL	2010	NA	4350	3547	803	18.5
CN0108700000000	01	087	Macon County, AL	2010	NA	8937	7618	1319	14.8
CN0108900000000	01	089	Madison County, AL	2010	NA	169833	155656	14177	8.3
