LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	1992	NA	17656	16500	1156	6.5
CN0100300000000	01	003	Baldwin County, AL	1992	NA	52209	48921	3288	6.3
CN0100500000000	01	005	Barbour County, AL	1992	NA	11613	10358	1255	10.8
CN0100700000000	01	007	Bibb County, AL	1992	NA	7990	7101	889	11.1
CN0100900000000	01	009	Blount County, AL	1992	NA	19553	18334	1219	6.2
CN0101100000000	01	011	Bullock County, AL	1992	NA	4303	3658	645	15
CN0101300000000	01	013	Butler County, AL	1992	NA	8921	7832	1089	12.2
CN0101500000000	01	015	Calhoun County, AL	1992	NA	53226	48479	4747	8.9
CN0101700000000	01	017	Chambers County, AL	1992	NA	17252	15875	1377	8
CN0101900000000	01	019	Cherokee County, AL	1992	NA	9569	8886	683	7.1
CN0102100000000	01	021	Chilton County, AL	1992	NA	15686	14102	1584	10.1
CN0102300000000	01	023	Choctaw County, AL	1992	NA	6992	6187	805	11.5
CN0102500000000	01	025	Clarke County, AL	1992	NA	12872	11193	1679	13
CN0102700000000	01	027	Clay County, AL	1992	NA	6468	6025	443	6.8
CN0102900000000	01	029	Cleburne County, AL	1992	NA	7099	6632	467	6.6
CN0103100000000	01	031	Coffee County, AL	1992	NA	19862	18664	1198	6
CN0103300000000	01	033	Colbert County, AL	1992	NA	25225	23001	2224	8.8
CN0103500000000	01	035	Conecuh County, AL	1992	NA	6097	5285	812	13.3
CN0103700000000	01	037	Coosa County, AL	1992	NA	5042	4745	297	5.9
CN0103900000000	01	039	Covington County, AL	1992	NA	16914	15098	1816	10.7
CN0104100000000	01	041	Crenshaw County, AL	1992	NA	6200	5650	550	8.9
CN0104300000000	01	043	Cullman County, AL	1992	NA	34510	32048	2462	7.1
CN0104500000000	01	045	Dale County, AL	1992	NA	20809	19357	1452	7
CN0104700000000	01	047	Dallas County, AL	1992	NA	20259	17465	2794	13.8
CN0104900000000	01	049	DeKalb County, AL	1992	NA	28276	26277	1999	7.1
CN0105100000000	01	051	Elmore County, AL	1992	NA	23837	22300	1537	6.4
CN0105300000000	01	053	Escambia County, AL	1992	NA	15799	13888	1911	12.1
CN0105500000000	01	055	Etowah County, AL	1992	NA	46582	42464	4118	8.8
CN0105700000000	01	057	Fayette County, AL	1992	NA	8645	7883	762	8.8
CN0105900000000	01	059	Franklin County, AL	1992	NA	14938	13724	1214	8.1
CN0106100000000	01	061	Geneva County, AL	1992	NA	11970	11372	598	5
CN0106300000000	01	063	Greene County, AL	1992	NA	3804	3285	519	13.6
CN0106500000000	01	065	Hale County, AL	1992	NA	6425	5762	663	10.3
CN0106700000000	01	067	Henry County, AL	1992	NA	6762	6231	531	7.9
CN0106900000000	01	069	Houston County, AL	1992	NA	41933	39596	2337	5.6
CN0107100000000	01	071	Jackson County, AL	1992	NA	24958	22261	2697	10.8
CN0107300000000	01	073	Jefferson County, AL	1992	NA	316293	297078	19215	6.1
CN0107500000000	01	075	Lamar County, AL	1992	NA	7767	7025	742	9.6
CN0107700000000	01	077	Lauderdale County, AL	1992	NA	39371	36606	2765	7
CN0107900000000	01	079	Lawrence County, AL	1992	NA	15236	13662	1574	10.3
CN0108100000000	01	081	Lee County, AL	1992	NA	43974	41500	2474	5.6
CN0108300000000	01	083	Limestone County, AL	1992	NA	27329	25399	1930	7.1
CN0108500000000	01	085	Lowndes County, AL	1992	NA	4455	3669	786	17.6
CN0108700000000	01	087	Macon County, AL	1992	NA	8889	8027	862	9.7
