LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2006	NA	24398	23585	813	3.3
CN0100300000000	01	003	Baldwin County, AL	2006	NA	79711	77147	2564	3.2
CN0100500000000	01	005	Barbour County, AL	2006	NA	10705	10096	609	5.7
CN0100700000000	01	007	Bibb County, AL	2006	NA	8850	8477	373	4.2
CN0100900000000	01	009	Blount County, AL	2006	NA	26770	25902	868	3.2
CN0101100000000	01	011	Bullock County, AL	2006	NA	3702	3372	330	8.9
CN0101300000000	01	013	Butler County, AL	2006	NA	9238	8709	529	5.7
CN0101500000000	01	015	Calhoun County, AL	2006	NA	54063	51872	2191	4.1
CN0101700000000	01	017	Chambers County, AL	2006	NA	15749	14828	921	5.8
CN0101900000000	01	019	Cherokee County, AL	2006	NA	11854	11352	502	4.2
CN0102100000000	01	021	Chilton County, AL	2006	NA	19771	19059	712	3.6
CN0102300000000	01	023	Choctaw County, AL	2006	NA	5329	5030	299	5.6
CN0102500000000	01	025	Clarke County, AL	2006	NA	10261	9622	639	6.2
CN0102700000000	01	027	Clay County, AL	2006	NA	6182	5902	280	4.5
CN0102900000000	01	029	Cleburne County, AL	2006	NA	6639	6406	233	3.5
CN0103100000000	01	031	Coffee County, AL	2006	NA	20691	19917	774	3.7
CN0103300000000	01	033	Colbert County, AL	2006	NA	25307	24128	1179	4.7
CN0103500000000	01	035	Conecuh County, AL	2006	NA	5123	4833	290	5.7
CN0103700000000	01	037	Coosa County, AL	2006	NA	4794	4525	269	5.6
CN0103900000000	01	039	Covington County, AL	2006	NA	17195	16529	666	3.9
CN0104100000000	01	041	Crenshaw County, AL	2006	NA	6595	6332	263	4
CN0104300000000	01	043	Cullman County, AL	2006	NA	39375	38026	1349	3.4
CN0104500000000	01	045	Dale County, AL	2006	NA	20480	19522	958	4.7
CN0104700000000	01	047	Dallas County, AL	2006	NA	15903	14594	1309	8.2
CN0104900000000	01	049	DeKalb County, AL	2006	NA	31493	30176	1317	4.2
CN0105100000000	01	051	Elmore County, AL	2006	NA	35169	33968	1201	3.4
CN0105300000000	01	053	Escambia County, AL	2006	NA	14348	13634	714	5
CN0105500000000	01	055	Etowah County, AL	2006	NA	46521	44546	1975	4.2
CN0105700000000	01	057	Fayette County, AL	2006	NA	7743	7414	329	4.2
CN0105900000000	01	059	Franklin County, AL	2006	NA	13939	13291	648	4.6
