LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	1995	NA	19647	18515	1132	5.8
CN0100300000000	01	003	Baldwin County, AL	1995	NA	60820	57883	2937	4.8
CN0100500000000	01	005	Barbour County, AL	1995	NA	12360	11329	1031	8.3
CN0100700000000	01	007	Bibb County, AL	1995	NA	7993	7461	532	6.7
CN0100900000000	01	009	Blount County, AL	1995	NA	20993	20055	938	4.5
CN0101100000000	01	011	Bullock County, AL	1995	NA	4456	3704	752	16.9
CN0101300000000	01	013	Butler County, AL	1995	NA	10023	9168	855	8.5
CN0101500000000	01	015	Calhoun County, AL	1995	NA	53449	49215	4234	7.9
CN0101700000000	01	017	Chambers County, AL	1995	NA	17161	15885	1276	7.4
CN0101900000000	01	019	Cherokee County, AL	1995	NA	10157	9511	646	6.4
CN0102100000000	01	021	Chilton County, AL	1995	NA	17555	16443	1112	6.3
CN0102300000000	01	023	Choctaw County, AL	1995	NA	6827	6116	711	10.4
CN0102500000000	01	025	Clarke County, AL	1995	NA	13568	12159	1409	10.4
CN0102700000000	01	027	Clay County, AL	1995	NA	6621	6249	372	5.6
CN0102900000000	01	029	Cleburne County, AL	1995	NA	7317	6910	407	5.6
CN0103100000000	01	031	Coffee County, AL	1995	NA	21554	20591	963	4.5
CN0103300000000	01	033	Colbert County, AL	1995	NA	26724	24802	1922	7.2
CN0103500000000	01	035	Conecuh County, AL	1995	NA	6715	6005	710	10.6
CN0103700000000	01	037	Coosa County, AL	1995	NA	5411	5144	267	4.9
CN0103900000000	01	039	Covington County, AL	1995	NA	17682	16478	1204	6.8
CN0104100000000	01	041	Crenshaw County, AL	1995	NA	6039	5689	350	5.8
CN0104300000000	01	043	Cullman County, AL	1995	NA	37455	35464	1991	5.3
CN0104500000000	01	045	Dale County, AL	1995	NA	21011	19599	1412	6.7
CN0104700000000	01	047	Dallas County, AL	1995	NA	21021	18357	2664	12.7
CN0104900000000	01	049	DeKalb County, AL	1995	NA	31232	29600	1632	5.2
CN0105100000000	01	051	Elmore County, AL	1995	NA	26367	25075	1292	4.9
CN0105300000000	01	053	Escambia County, AL	1995	NA	16320	14955	1365	8.4
CN0105500000000	01	055	Etowah County, AL	1995	NA	48527	45426	3101	6.4
CN0105700000000	01	057	Fayette County, AL	1995	NA	8755	8250	505	5.8
