LAUS_CODE	STATE_FIPS	COUNTY_FIPS	COUNTY	YEAR	ESTIMATED	LABOR_FORCE	EMPLOYED	UNEMPLOYED_LEVEL	UNEMPLOYED_RATE
CN0100100000000	01	001	Autauga County, AL	2011	NA	25836	23677	2159	8.4
CN0100300000000	01	003	Baldwin County, AL	2011	NA	85045	77418	7627	9
CN0100500000000	01	005	Barbour County, AL	2011	NA	9849	8712	1137	11.5
CN0100700000000	01	007	Bibb County, AL	2011	NA	8933	7996	937	10.5
CN0100900000000	01	009	Blount County, AL	2011	NA	25123	22939	2184	8.7
CN0101100000000	01	011	Bullock County, AL	2011	NA	4833	4272	561	11.6
CN0101300000000	01	013	Butler County, AL	2011	NA	9188	8042	1146	12.5
CN0101500000000	01	015	Calhoun County, AL	2011	NA	51268	45963	5305	10.3
CN0101700000000	01	017	Chambers County, AL	2011	NA	15200	13380	1820	12
CN0101900000000	01	019	Cherokee County, AL	2011	NA	11476	10364	1112	9.7
CN0102100000000	01	021	Chilton County, AL	2011	NA	19539	17753	1786	9.1
CN0102300000000	01	023	Choctaw County, AL	2011	NA	4764	4138	626	13.1
CN0102500000000	01	025	Clarke County, AL	2011	NA	8843	7181	1662	18.8
CN0102700000000	01	027	Clay County, AL	2011	NA	5598	4935	663	11.8
CN0102900000000	01	029	Cleburne County, AL	2011	NA	5939	5365	574	9.7
CN0103100000000	01	031	Coffee County, AL	2011	NA	20749	19059	1690	8.1
CN0103300000000	01	033	Colbert County, AL	2011	NA	24386	21905	2481	10.2
CN0103500000000	01	035	Conecuh County, AL	2011	NA	4785	4057	728	15.2
CN0103700000000	01	037	Coosa County, AL	2011	NA	4477	3918	559	12.5
CN0103900000000	01	039	Covington County, AL	2011	NA	16367	14764	1603	9.8
CN0104100000000	01	041	Crenshaw County, AL	2011	NA	6432	5798	634	9.9
CN0104300000000	01	043	Cullman County, AL	2011	NA	35669	32279	3390	9.5
CN0104500000000	01	045	Dale County, AL	2011	NA	22017	20188	1829	8.3
CN0104700000000	01	047	Dallas County, AL	2011	NA	17514	14866	2648	15.1
CN0104900000000	01	049	DeKalb County, AL	2011	NA	29809	26279	3530	11.8
CN0105100000000	01	051	Elmore County, AL	2011	NA	36597	33521	3076	8.4
CN0105300000000	01	053	Escambia County, AL	2011	NA	14978	13355	1623	10.8
CN0105500000000	01	055	Etowah County, AL	2011	NA	44722	40238	4484	10
CN0105700000000	01	057	Fayette County, AL	2011	NA	6632	5896	736	11.1
CN0105900000000	01	059	Franklin County, AL	2011	NA	14362	12986	1376	9.6
CN0106100000000	01	061	Geneva County, AL	2011	NA	11486	10429	1057	9.2
CN0106300000000	01	063	Greene County, AL	2011	NA	3226	2668	558	17.3
CN0106500000000	01	065	Hale County, AL	2011	NA	6296	5426	870	13.8
CN0106700000000	01	067	Henry County, AL	2011	NA	7270	6563	707	9.7
CN0106900000000	01	069	Houston County, AL	2011	NA	46778	42747	4031	8.6
